artifact_id,legacy_path,capability_id,historical_recovery_status,migration_state,claim_ids,active_claim_dependency,replacement_paths,disposition_reason,recovery_basis
legacy-28,scripts/28_income_tax_latent_type_bridge.py,income_tax_latent_type_bridge,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C06,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-29,scripts/29_income_tax_type_specific_nuisance_diagnostic.py,income_tax_type_specific_nuisance_diagnostic,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C06,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-30,scripts/30_income_tax_explicit_omitted_channels.py,income_tax_explicit_omitted_channels,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,P1-C03;P1-C11;P1-C12,false,data/scientific_state.csv;data/claim_graph.csv,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-31,scripts/31_income_tax_interest_private_partial_id.py,income_tax_interest_private_partial_id,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C06,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-32,scripts/32_nta_income_coreceipt_bounds.py,nta_income_coreceipt_bounds,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C06,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-33,scripts/33_nta_primary_secondary_cross_tab.py,nta_primary_secondary_cross_tab,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C06,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-34,scripts/34_nta_coreceipt_polytope.py,nta_coreceipt_polytope,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C06,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-35,scripts/35_research_governance_registry.py,research_governance_registry,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,,false,data/scientific_state.csv;data/claim_graph.csv,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-36,scripts/36_growth_lower_tail_robustness.py,growth_lower_tail_robustness,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,VAT-C02,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-37,scripts/37_fgt_counterfactual_effect_bounds.py,fgt_counterfactual_effect_bounds,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,VAT-C02,false,,Historical FGT counterfactual bounds are not carried forward; current VAT FGT2 effect remains NOT_IDENTIFIED.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-38,scripts/38_submission_readiness_and_provenance.py,submission_readiness_and_provenance,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,,false,data/input_provenance.csv;data/scientific_review_gates.csv;data/research_products.csv,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-39,scripts/39_income_tax_restricted_lp_identified_set.py,income_tax_restricted_lp_identified_set,NOT_RECOVERED,UNRESOLVED_RECOVERY_GAP,P1-C06,false,,"Historical implementation remains unrecovered; linked P1-C06 recovery claim is inactive, so this byte-recovery gap does not support a current active claim.",V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-40,scripts/40_income_tax_leave_one_table_out.py,income_tax_leave_one_table_out,NOT_RECOVERED,UNRESOLVED_RECOVERY_GAP,P1-C06,false,,"Historical implementation remains unrecovered; linked P1-C06 recovery claim is inactive, so this byte-recovery gap does not support a current active claim.",V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-41,scripts/41_income_tax_population_selection_nonidentification.py,income_tax_population_selection_nonidentification,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,P1-C05,false,data/claim_graph.csv;research/income_tax_partial_identification/README.adoc,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-42,scripts/42_income_tax_surtax_restricted_lp_sensitivity.py,income_tax_surtax_restricted_lp_sensitivity,NOT_RECOVERED,UNRESOLVED_RECOVERY_GAP,P1-C06,false,,"Historical implementation remains unrecovered; linked P1-C06 recovery claim is inactive, so this byte-recovery gap does not support a current active claim.",V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-43,scripts/43_nta_coreceipt_max_entropy_reference.py,nta_coreceipt_max_entropy_reference,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C06,false,,Historical capability is outside the current active claim set; no active claim requires this legacy implementation.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-44,scripts/44_nta_return_filer_selection_bridge.py,nta_return_filer_selection_bridge,NOT_RECOVERED,RETIRED_WITH_JUSTIFICATION,P1-C05;P1-C06,false,,Historical return-filer bridge is not carried forward because same-person linkage remains NOT_IDENTIFIED.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
legacy-45,scripts/45_income_tax_stage1_filing_rate_threshold.py,income_tax_stage1_filing_rate_threshold,NOT_RECOVERED,SCIENTIFICALLY_SUPERSEDED,P1-C08;P1-C10,false,research/stage1_filing_bound,Current repository implementation/evidence is authoritative for the retained capability; legacy byte identity is not required by any active claim.,V6_RECOVERED_ARCHIVE_REGISTRY_SHA256_6878d12710be50b6876a8fdf07b03f86ac7d83a7d9445d42259776d38ba0b1ae
