item_id,layer,direction,component_id,direct_optimizer_input,allowed_nonready_use,required_for_headline,formula_or_rule,normative_status,notes
jgb_market_function_guardrail,CONSTRAINT_FAMILY,within_range,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,true,pre-specified JGB market-function limits,NORMATIVE_GUARDRAIL,Endogenous market response remains unidentified.
exchange_rate_guardrail,CONSTRAINT_FAMILY,within_range,vat_policy_integration,false,ROBUSTNESS_FRONTIER_ONLY,true,pre-specified exchange-rate guardrail if used,NORMATIVE_GUARDRAIL,Exchange rates are state/side-effect constraints rather than a core welfare objective.
overall_real_gdp_level,DASHBOARD,maximize,vat_policy_integration,false,DASHBOARD_ONLY,false,reported aggregate real GDP level path,DIAGNOSTIC,Aggregate production/capacity diagnostic; not household welfare.
cumulative_real_growth,DASHBOARD,maximize,vat_policy_integration,false,DASHBOARD_ONLY,false,"C_Y=sum_t beta^(t-1) log(1+g_Y,t)",DIAGNOSTIC,Issue #121 aggregate growth diagnostic retained after the headline shift to per-capita production.
growth_decline_penalty,DASHBOARD,minimize,vat_policy_integration,false,DASHBOARD_ONLY,false,"D_g=sum_t beta^(t-1) max(g_Y,t-1-g_Y,t;0)^2",DIAGNOSTIC,Issue #121 aggregate growth-decline diagnostic retained separately from D_pc.
aggregate_recession_downside,DASHBOARD,minimize,vat_policy_integration,false,DASHBOARD_ONLY,false,"R_g=sum_t I(g_Y,t<0)*abs(g_Y,t)",DIAGNOSTIC,Aggregate recession/downside diagnostic; not double-counted as a headline Pareto objective.
labour_utilisation_hours_per_person,DASHBOARD,none,vat_policy_integration,false,DASHBOARD_ONLY,false,"u_t=H_t/N_t and y_pc,t=(Y_t/H_t)*(H_t/N_t)",DIAGNOSTIC,Decomposes GDP per person into productivity and labour utilisation.
fgt2_anchored_real,DASHBOARD,minimize,vat_policy_integration,false,DASHBOARD_ONLY,false,FGT2 using the baseline poverty line held fixed in real household-purchasing-power terms,DIAGNOSTIC,Sensitivity that distinguishes relative-poverty-line movement from changes against an anchored real threshold.
poverty_headcount_p0,DASHBOARD,minimize,vat_policy_integration,false,DASHBOARD_ONLY,false,P_0,DIAGNOSTIC,Supplementary poverty incidence metric.
poverty_gap_p1,DASHBOARD,minimize,vat_policy_integration,false,DASHBOARD_ONLY,false,P_1,DIAGNOSTIC,Supplementary poverty depth metric.
lower_decile_real_income,DASHBOARD,maximize,vat_policy_integration,false,DASHBOARD_ONLY,false,lower-decile real disposable income,DIAGNOSTIC,Distributional diagnostic distinct from the objective definition.
growth_incidence,DASHBOARD,none,vat_policy_integration,false,DASHBOARD_ONLY,false,growth-incidence profile,DIAGNOSTIC,Diagnostic profile; not silently promoted to a Pareto objective.
minimax_regret,SECONDARY_DECISION_RULE,minimize,,false,NORMATIVE_SECONDARY_ONLY,false,"argmin_p max_(theta,w) Regret(p;theta,w)",EXPLICIT_NORMATIVE_SECONDARY_RULE,Use only after the robust Pareto frontier if one policy must be selected and uncertainty/value sets are pre-specified.
