spec_version,weight_scheme,epsilon_source,epsilon,feasible,solver_status_code,solver_message,max_scenario_sum_residual,max_decile_mass_residual,max_category_mass_residual,max_transport_gap,max_transport_inequality_excess,minimum_decision_variable,numpy_version,scipy_version,solver_method,scientific_status,historical_v6_restricted_lp_reproduced
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.05,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.075,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.1,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.125,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.15,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.175,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.2,False,2,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.225,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,1.38777878078e-17,2.77555756156e-17,0.225,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.25,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,3.46944695195e-17,0.25,1.11022302463e-16,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.275,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,1.66533453694e-16,1.11022302463e-16,0.275,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,pre_specified_grid,0.3,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,4.16333634234e-17,0.3,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,f71561_leaf_count_normalized,epsilon_star,0.221952512252,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,1.38777878078e-17,4.16333634234e-17,0.221952512252,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
