survey_year,metric_id,value,unit,denominator_n,response_scope,source_id,source_locator,evidence_type,identification_status,model_use,note
2024,future_exempt_supplier_review_at_2029_transition_end_share,0.022,ratio,732,respondents still purchasing from exempt businesses,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response; scheduled input-tax-credit transition changes are part of the question context.
2024,future_exempt_supplier_undecided_share,0.235,ratio,732,respondents still purchasing from exempt businesses,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response; scheduled input-tax-credit transition changes are part of the question context.
2024,future_exempt_supplier_stop_or_review_share,0.294,ratio,732,respondents still purchasing from exempt businesses,JCCI-2024-INVOICE-BACKOFFICE-SURVEY,PDF p.10 / printed p.9; derived sum,DERIVED_ROUNDED_CATEGORY_SUM,STATED_FUTURE_STOP_OR_REVIEW_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,"Sum of all-stop, mostly-stop, review-at-2026 and review-at-2029 categories = 29.4%; not a forecast of realized supplier exit."
2025,taxable_firms_with_exempt_supplier_purchases_share,0.437,ratio,1151,qualified-invoice-registered general-taxation businesses,JCCI-2025-INVOICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_CURRENT_EXEMPT_SUPPLIER_EXPOSURE,NETWORK_EXPOSURE_CONTEXT_ONLY,Share currently purchasing from exempt businesses.
2025,exempt_supplier_purchase_amount_ge_1m_yen_share,0.576,ratio,503,respondents with purchases from exempt businesses,JCCI-2025-INVOICE-SURVEY,PDF p.10 / printed p.9,SURVEY_RESPONSE_SHARE,OBSERVED_CURRENT_EXEMPT_SUPPLIER_EXPOSURE,EXPOSURE_SCALE_CONTEXT_ONLY,Share reporting annual purchases from exempt businesses of at least 1 million yen.
2025,current_price_unchanged_self_absorb_share,0.875,ratio,503,respondents with purchases from exempt businesses; multiple response,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,MULTIPLE_RESPONSE_SHARE,CURRENT_COST_ABSORPTION_INCIDENCE,INCIDENCE_ONLY_NOT_UNIQUE_FIRM_SHARE_OR_OUTPUT_EFFECT,Multiple-response current treatment of purchases from exempt businesses; shares must not be summed as mutually exclusive firm fractions.
2025,current_pass_to_sales_price_share,0.093,ratio,503,respondents with purchases from exempt businesses; multiple response,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,MULTIPLE_RESPONSE_SHARE,DOWNSTREAM_PRICE_PASS_THROUGH_INCIDENCE,INCIDENCE_ONLY_NOT_UNIQUE_FIRM_SHARE_OR_OUTPUT_EFFECT,Multiple-response current treatment of purchases from exempt businesses; shares must not be summed as mutually exclusive firm fractions.
2025,current_lower_purchase_price_by_denied_credit_share,0.054,ratio,503,respondents with purchases from exempt businesses; multiple response,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,MULTIPLE_RESPONSE_SHARE,SUPPLIER_PRICE_PRESSURE_INCIDENCE,INCIDENCE_ONLY_NOT_UNIQUE_FIRM_SHARE_OR_OUTPUT_EFFECT,Multiple-response current treatment of purchases from exempt businesses; shares must not be summed as mutually exclusive firm fractions.
2025,current_lower_purchase_price_by_full_tax_share,0.022,ratio,503,respondents with purchases from exempt businesses; multiple response,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,MULTIPLE_RESPONSE_SHARE,SUPPLIER_PRICE_PRESSURE_INCIDENCE,INCIDENCE_ONLY_NOT_UNIQUE_FIRM_SHARE_OR_OUTPUT_EFFECT,Multiple-response current treatment of purchases from exempt businesses; shares must not be summed as mutually exclusive firm fractions.
2025,future_exempt_supplier_price_maintain_continue_share,0.215,ratio,502,respondents with purchases from exempt businesses,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response.
2025,future_exempt_supplier_price_review_share,0.305,ratio,502,respondents with purchases from exempt businesses,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response.
2025,future_exempt_supplier_all_stop_share,0.020,ratio,502,respondents with purchases from exempt businesses,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response.
2025,future_exempt_supplier_mostly_stop_share,0.098,ratio,502,respondents with purchases from exempt businesses,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response.
2025,future_exempt_supplier_undecided_share,0.351,ratio,502,respondents with purchases from exempt businesses,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response.
2025,future_exempt_supplier_other_share,0.011,ratio,502,respondents with purchases from exempt businesses,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,SURVEY_RESPONSE_SHARE,OBSERVED_STATED_FUTURE_NETWORK_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,Mutually exclusive future policy response.
2025,future_price_or_supplier_review_share,0.423,ratio,502,respondents with purchases from exempt businesses,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,SURVEY_HEADLINE_AND_CATEGORY_SUM,STATED_FUTURE_PRICE_OR_SUPPLIER_REVIEW_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,JCCI headline share; equals price review 30.5% + mostly stop 9.8% + all stop 2.0% = 42.3%.
2025,future_supplier_reduction_or_exit_share,0.118,ratio,502,respondents with purchases from exempt businesses,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10; derived sum,DERIVED_ROUNDED_CATEGORY_SUM,STATED_FUTURE_SUPPLIER_REDUCTION_INTENTION,INTENTION_NOT_REALIZED_NETWORK_EFFECT,"All-stop plus mostly-stop = 11.8%. This is stated intention, not realized exit or a causal output effect."
2025,continue_reason_no_alternative_supplier_share,0.446,ratio,92,respondents planning to continue at unchanged price; multiple response,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,MULTIPLE_RESPONSE_SHARE,SUBSTITUTION_FRICTION_NO_ALTERNATIVE,SUBSTITUTION_FRICTION_CONTEXT_NOT_MACRO_OUTPUT_EFFECT,Reason for continuing exempt-supplier transactions at unchanged price; multiple response.
2025,continue_reason_search_effort_not_worth_it_share,0.391,ratio,92,respondents planning to continue at unchanged price; multiple response,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,MULTIPLE_RESPONSE_SHARE,SUBSTITUTION_FRICTION_SEARCH_COST,SUBSTITUTION_FRICTION_CONTEXT_NOT_MACRO_OUTPUT_EFFECT,Reason for continuing exempt-supplier transactions at unchanged price; multiple response.
2025,continue_reason_labor_shortage_requires_exempt_suppliers_share,0.380,ratio,92,respondents planning to continue at unchanged price; multiple response,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,MULTIPLE_RESPONSE_SHARE,SUBSTITUTION_FRICTION_CAPACITY_CONSTRAINT,SUBSTITUTION_FRICTION_CONTEXT_NOT_MACRO_OUTPUT_EFFECT,Reason for continuing exempt-supplier transactions at unchanged price; multiple response.
2025,continue_reason_support_small_local_business_share,0.348,ratio,92,respondents planning to continue at unchanged price; multiple response,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,MULTIPLE_RESPONSE_SHARE,RELATIONSHIP_OR_LOCAL_SUPPORT_MOTIVE,SUBSTITUTION_FRICTION_CONTEXT_NOT_MACRO_OUTPUT_EFFECT,Reason for continuing exempt-supplier transactions at unchanged price; multiple response.
2025,continue_reason_existing_supplier_still_cheaper_share,0.141,ratio,92,respondents planning to continue at unchanged price; multiple response,JCCI-2025-INVOICE-SURVEY,PDF p.11 / printed p.10,MULTIPLE_RESPONSE_SHARE,RELATIVE_PRICE_ADVANTAGE,SUBSTITUTION_FRICTION_CONTEXT_NOT_MACRO_OUTPUT_EFFECT,Reason for continuing exempt-supplier transactions at unchanged price; multiple response.
